Skew;Value
PosSkew;3
PosSkew;4
PosSkew;0
PosSkew;1
PosSkew;1
PosSkew;3
PosSkew;5
PosSkew;5
PosSkew;5
PosSkew;4
PosSkew;0
PosSkew;1
PosSkew;4
PosSkew;2
PosSkew;1
PosSkew;4
PosSkew;0
PosSkew;4
PosSkew;2
PosSkew;0
PosSkew;4
PosSkew;4
PosSkew;1
PosSkew;0
PosSkew;5
PosSkew;1
PosSkew;3
PosSkew;5
PosSkew;2
PosSkew;3
PosSkew;3
PosSkew;1
PosSkew;5
PosSkew;0
PosSkew;0
PosSkew;3
PosSkew;8
PosSkew;6
PosSkew;8
PosSkew;6
PosSkew;7
PosSkew;8
PosSkew;8
PosSkew;8
PosSkew;8
PosSkew;9
PosSkew;10
PosSkew;8
PosSkew;6
PosSkew;7
PosSkew;9
PosSkew;6
PosSkew;6
PosSkew;6
PosSkew;6
PosSkew;10
PosSkew;10
PosSkew;6
PosSkew;6
PosSkew;9
PosSkew;7
PosSkew;12
PosSkew;15
PosSkew;11
PosSkew;15
PosSkew;12
PosSkew;14
PosSkew;14
PosSkew;15
PosSkew;15
PosSkew;15
PosSkew;15
PosSkew;15
PosSkew;15
PosSkew;12
PosSkew;13
PosSkew;11
PosSkew;14
PosSkew;12
PosSkew;20
PosSkew;18
PosSkew;17
PosSkew;20
PosSkew;20
PosSkew;17
PosSkew;17
PosSkew;18
PosSkew;18
PosSkew;19
PosSkew;18
PosSkew;17
PosSkew;19
PosSkew;17
PosSkew;17
PosSkew;19
PosSkew;17
PosSkew;18
PosSkew;19
PosSkew;18
PosSkew;19
PosSkew;19
PosSkew;19
PosSkew;20
PosSkew;20
PosSkew;20
PosSkew;17
PosSkew;20
PosSkew;20
PosSkew;17
PosSkew;18
PosSkew;18
PosSkew;18
PosSkew;17
PosSkew;19
PosSkew;17
PosSkew;19
PosSkew;16
PosSkew;20
PosSkew;20
PosSkew;19
PosSkew;19
PosSkew;20
PosSkew;20
PosSkew;18
PosSkew;16
PosSkew;17
PosSkew;16
PosSkew;18
PosSkew;20
PosSkew;19
PosSkew;18
PosSkew;18
PosSkew;16
PosSkew;19
PosSkew;17
PosSkew;18
PosSkew;16
PosSkew;17
PosSkew;17
PosSkew;19
PosSkew;16
PosSkew;17
PosSkew;20
PosSkew;17
PosSkew;19
PosSkew;20
PosSkew;20
PosSkew;19
PosSkew;17
PosSkew;18
PosSkew;16
PosSkew;19
PosSkew;20
PosSkew;16
PosSkew;19
PosSkew;17
PosSkew;17
PosSkew;20
PosSkew;16
PosSkew;18
PosSkew;20
PosSkew;17
PosSkew;16
PosSkew;20
PosSkew;20
PosSkew;17
PosSkew;20
PosSkew;20
PosSkew;19
PosSkew;18
PosSkew;19
PosSkew;19
PosSkew;16
PosSkew;17
PosSkew;17
PosSkew;19
PosSkew;17
PosSkew;16
PosSkew;21
PosSkew;22
PosSkew;21
PosSkew;24
PosSkew;23
PosSkew;22
PosSkew;23
PosSkew;21
PosSkew;24
PosSkew;24
PosSkew;23
PosSkew;24
PosSkew;24
PosSkew;21
PosSkew;24
PosSkew;24
PosSkew;25
PosSkew;25
PosSkew;24
PosSkew;21
PosSkew;23
PosSkew;25
PosSkew;23
PosSkew;25
PosSkew;22
PosSkew;21
PosSkew;24
PosSkew;22
PosSkew;24
PosSkew;22
PosSkew;21
PosSkew;25
PosSkew;21
PosSkew;23
PosSkew;23
PosSkew;23
PosSkew;22
PosSkew;22
PosSkew;22
PosSkew;22
PosSkew;24
PosSkew;21
PosSkew;21
PosSkew;23
PosSkew;22
PosSkew;21
PosSkew;21
PosSkew;23
PosSkew;24
PosSkew;21
PosSkew;25
PosSkew;22
PosSkew;21
PosSkew;23
PosSkew;21
PosSkew;25
PosSkew;23
PosSkew;25
PosSkew;21
PosSkew;21
PosSkew;23
PosSkew;22
PosSkew;23
PosSkew;25
PosSkew;25
PosSkew;25
PosSkew;24
PosSkew;21
PosSkew;22
PosSkew;22
PosSkew;22
PosSkew;25
PosSkew;24
PosSkew;22
PosSkew;25
PosSkew;24
PosSkew;25
PosSkew;21
PosSkew;21
PosSkew;21
PosSkew;25
PosSkew;22
PosSkew;25
PosSkew;24
PosSkew;22
PosSkew;24
PosSkew;23
PosSkew;21
PosSkew;25
PosSkew;25
PosSkew;22
PosSkew;24
PosSkew;21
PosSkew;23
PosSkew;24
PosSkew;24
PosSkew;25
PosSkew;21
PosSkew;25
PosSkew;23
PosSkew;24
PosSkew;22
PosSkew;23
PosSkew;24
PosSkew;24
PosSkew;24
PosSkew;25
PosSkew;25
PosSkew;25
PosSkew;23
PosSkew;21
PosSkew;21
PosSkew;25
PosSkew;25
PosSkew;23
PosSkew;23
PosSkew;24
PosSkew;24
PosSkew;24
PosSkew;22
PosSkew;22
PosSkew;23
PosSkew;23
PosSkew;24
PosSkew;24
PosSkew;21
PosSkew;24
PosSkew;21
PosSkew;22
PosSkew;24
PosSkew;21
PosSkew;25
PosSkew;25
PosSkew;21
PosSkew;24
PosSkew;22
PosSkew;22
PosSkew;25
PosSkew;24
PosSkew;26
PosSkew;30
PosSkew;27
PosSkew;27
PosSkew;30
PosSkew;26
PosSkew;29
PosSkew;30
PosSkew;26
PosSkew;29
PosSkew;26
PosSkew;27
PosSkew;30
PosSkew;28
PosSkew;28
PosSkew;28
PosSkew;27
PosSkew;29
PosSkew;29
PosSkew;29
PosSkew;27
PosSkew;30
PosSkew;27
PosSkew;27
PosSkew;26
PosSkew;26
PosSkew;26
PosSkew;29
PosSkew;26
PosSkew;26
PosSkew;30
PosSkew;26
PosSkew;26
PosSkew;28
PosSkew;30
PosSkew;30
PosSkew;28
PosSkew;27
PosSkew;29
PosSkew;29
PosSkew;30
PosSkew;28
PosSkew;26
PosSkew;27
PosSkew;26
PosSkew;30
PosSkew;26
PosSkew;27
PosSkew;30
PosSkew;29
PosSkew;28
PosSkew;29
PosSkew;30
PosSkew;27
PosSkew;30
PosSkew;28
PosSkew;27
PosSkew;27
PosSkew;28
PosSkew;27
PosSkew;30
PosSkew;28
PosSkew;28
PosSkew;29
PosSkew;29
PosSkew;28
PosSkew;27
PosSkew;26
PosSkew;27
PosSkew;29
PosSkew;28
PosSkew;29
PosSkew;26
PosSkew;30
PosSkew;26
PosSkew;29
PosSkew;29
PosSkew;30
PosSkew;30
PosSkew;26
PosSkew;26
PosSkew;27
PosSkew;29
PosSkew;30
PosSkew;29
PosSkew;27
PosSkew;30
PosSkew;29
PosSkew;26
PosSkew;28
PosSkew;28
PosSkew;26
PosSkew;28
PosSkew;29
PosSkew;26
PosSkew;28
PosSkew;27
PosSkew;27
PosSkew;26
PosSkew;30
PosSkew;29
PosSkew;26
PosSkew;29
PosSkew;26
PosSkew;29
PosSkew;30
PosSkew;29
PosSkew;26
PosSkew;26
PosSkew;28
PosSkew;26
PosSkew;30
PosSkew;28
PosSkew;30
PosSkew;28
PosSkew;26
PosSkew;28
PosSkew;30
PosSkew;30
PosSkew;30
PosSkew;26
PosSkew;35
PosSkew;31
PosSkew;31
PosSkew;34
PosSkew;32
PosSkew;31
PosSkew;35
PosSkew;33
PosSkew;31
PosSkew;34
PosSkew;35
PosSkew;31
PosSkew;33
PosSkew;34
PosSkew;33
PosSkew;31
PosSkew;35
PosSkew;31
PosSkew;35
PosSkew;33
PosSkew;31
PosSkew;35
PosSkew;31
PosSkew;33
PosSkew;32
PosSkew;34
PosSkew;35
PosSkew;31
PosSkew;33
PosSkew;33
PosSkew;35
PosSkew;33
PosSkew;31
PosSkew;34
PosSkew;35
PosSkew;31
PosSkew;32
PosSkew;31
PosSkew;33
PosSkew;33
PosSkew;33
PosSkew;31
PosSkew;33
PosSkew;32
PosSkew;34
PosSkew;34
PosSkew;31
PosSkew;31
PosSkew;35
PosSkew;32
PosSkew;33
PosSkew;34
PosSkew;35
PosSkew;31
PosSkew;33
PosSkew;33
PosSkew;33
PosSkew;34
PosSkew;33
PosSkew;32
PosSkew;31
PosSkew;31
PosSkew;31
PosSkew;33
PosSkew;35
PosSkew;35
PosSkew;32
